Relative Intensity (%) Run #1,Angle (rad) Run #1,Relative Intensity (%) Run #2,Angle (rad) Run #2,Relative Intensity (%) Run #3,Angle (rad) Run #3,Relative Intensity (%) Run #4,Angle (rad) Run #4,Relative Intensity (%) Run #5,Angle (rad) Run #5,Relative Intensity (%) Run #6,Angle (rad) Run #6
-4.2,,-2.35,,-1.39,,-0.3,,0.04,,1.49,
-4.14,0,-2.32,0,-1.41,0,-0.3,0,0.04,0,1.48,0
-4.11,0,-2.42,0,-1.35,0,-0.33,0,-0.04,0,1.53,0
-4.16,0,-2.42,0,-1.4,0,-0.38,0,-0.05,0.002,1.5,0
-4.21,0,-2.39,0,-1.36,0,-0.38,0,-0.07,0.002,1.42,0
-4.18,0,-2.39,0,-1.34,0,-0.34,0,-0.03,0.002,1.4,0
-4.11,0,-2.43,0,-1.33,0,-0.36,0,-0.01,0.002,1.42,0
-4.21,0,-2.46,0,-1.34,0,-0.38,0,-0.07,0.002,1.45,0
-4.24,0,-2.37,0,-1.38,0,-0.25,0,-0.09,0.002,1.45,0
-4.23,0,-2.36,0,-1.39,0,-0.32,0,-0.16,0.002,1.36,0
-4.14,0,-2.3,0,-1.35,0,-0.29,0,-0.12,0.002,1.37,0
-4.12,0,-2.35,0,-1.3,0,-0.3,0,-0.1,0.002,1.4,0
-4.15,0,-2.35,0,-1.3,0,-0.31,0,-0.07,0.003,1.4,0
-4.16,0,-2.34,0,-1.31,0,-0.29,0,-0.03,0.003,1.38,0
-4.17,0,-2.34,0,-1.35,0,-0.26,0,-8.70E-04,0.003,1.38,0
-4.26,0,-2.27,0,-1.31,0,-0.27,0,0.02,0.003,1.44,0
-4.23,0,-2.27,0,-1.33,0,-0.3,0,0.03,0.003,1.46,0
-4.21,0,-2.28,0,-1.25,0,-0.28,0,0.07,0.003,1.41,0
-4.15,0,-2.29,0,-1.31,0,-0.27,0,0.02,0.003,1.43,0
-4.31,0,-2.28,0,-1.27,0,-0.27,0,0.08,0.003,1.56,0
-4.24,0,-2.25,0,-1.28,0,-0.29,0,0.07,0.003,1.56,0
-4.19,0,-2.27,0,-1.28,0,-0.29,0,0.03,0.003,1.61,0
-4.21,0,-2.28,0,-1.27,0,-0.24,0,-0.02,0.003,1.61,0
-4.19,0,-2.27,0,-1.32,0,-0.28,0,0.01,0.003,1.49,0
-4.21,0,-2.27,0,-1.32,0,-0.28,0,0.05,0.003,1.54,0
-4.24,0,-2.23,0,-1.29,0,-0.31,0,0.11,0.003,1.56,0
-4.24,0,-2.33,0,-1.3,0,-0.36,0,0.05,0.003,1.54,0
-4.19,0,-2.25,0,-1.37,0,-0.34,-0.002,0.07,0.003,1.52,0
-4.2,0,-2.25,0,-1.37,0,-0.3,-0.002,0.07,0.003,1.58,0
-4.21,0,-2.21,0,-1.4,0,-0.31,-0.002,0.02,0.008,1.62,0
-4.21,0,-2.28,0,-1.37,0,-0.29,-0.002,0.08,0.005,1.57,0
-4.32,0,-2.19,0,-1.33,0,-0.32,-0.002,0.02,0.013,1.5,0
-4.29,0,-2.22,0,-1.33,0,-0.38,-0.002,0.03,0.016,1.46,0
-4.4,0,-2.2,0,-1.35,0,-0.37,-0.002,-0.01,0.014,1.52,0.006
-4.34,0.002,-2.2,0,-1.34,0,-0.32,-0.002,-0.01,0.014,1.47,0.005
-4.36,0.002,-2.22,0,-1.33,0,-0.31,-0.002,-0.05,0.013,1.54,0.006
-4.3,0.002,-2.16,0,-1.32,0,-0.37,-0.002,-0.04,0.014,1.49,0.005
-4.26,0,-2.14,0,-1.37,0,-0.31,-0.002,-0.01,0.016,1.54,0.005
-4.22,0,-2.22,0,-1.35,0,-0.31,-0.002,0.04,0.019,1.59,0.008
-4.24,0,-2.2,0,-1.42,0,-0.28,-0.002,0.02,0.02,1.65,0.008
-4.24,0.002,-2.23,0,-1.32,0,-0.34,-0.002,0.03,0.013,1.68,-0.025
-4.21,0,-2.23,0,-1.31,0,-0.32,-0.002,0.03,0.013,1.63,-0.052
-4.22,0,-2.16,0,-1.35,0,-0.37,-0.002,-0.01,0.014,1.55,-0.052
-4.25,0.002,-2.19,-0.002,-1.36,0,-0.35,-0.002,0.01,0.013,1.52,-0.063
-4.22,0,-2.2,-0.002,-1.48,0,-0.3,-0.002,-0.02,0.013,1.55,-0.063
-4.2,-0.002,-2.23,-0.002,-1.5,0,-0.3,-0.002,-0.04,0.013,1.52,-0.064
-4.18,-0.003,-2.25,-0.002,-1.51,0,-0.33,-0.002,-0.04,0.013,1.53,-0.057
-4.19,-0.003,-2.27,-0.002,-1.54,0,-0.31,-0.002,0.01,0.013,1.63,-0.022
-4.26,-0.003,-2.29,-0.002,-1.5,0,-0.3,-0.002,0.01,0.013,1.68,0.005
-4.25,-0.003,-2.3,-0.002,-1.48,0,-0.33,-0.002,0.01,0.013,1.66,0.022
-4.32,-0.003,-2.28,-0.002,-1.42,0,-0.37,-0.002,-0.02,0.014,1.63,0.047
-4.21,-0.003,-2.29,-0.002,-1.33,0,-0.2,-0.002,0,0.022,1.73,0.085
-4.21,-0.003,-2.25,-0.002,-1.38,0,-0.34,-0.002,1.68E-04,0.035,1.72,0.123
-4.27,-0.003,-2.26,-0.002,-1.34,0,-0.25,-0.002,-0.02,0.041,1.74,0.181
-4.33,-0.003,-2.3,-0.002,-1.33,0,-0.32,-0.002,-0.01,0.053,1.73,0.204
-4.38,-0.005,-2.23,0,-1.27,0,-0.4,-0.002,-0.11,0.071,1.71,0.231
-4.4,-0.005,-2.2,0.008,-1.23,0,-0.3,-0.002,-0.14,0.093,1.7,0.25
-4.39,-0.005,-2.14,0.005,-1.31,0,-0.35,-0.002,-0.05,0.143,1.63,0.28
-4.36,-0.005,-2.12,0.003,-1.3,0,-0.32,0,-0.08,0.212,1.73,0.311
-4.29,-0.005,-2.18,0.005,-1.24,0,-0.34,0,-0.01,0.261,1.74,0.352
-4.32,-0.006,-2.17,0.005,-1.18,0,-0.3,0.002,-0.07,0.281,1.75,0.383
-4.3,-0.006,-2.2,0.005,-1.21,0,-0.31,0.002,-0.07,0.317,1.73,0.408
-4.31,-0.006,-2.26,0.005,-1.17,0,-0.26,0.002,-0.1,0.394,1.66,0.423
-4.28,-0.008,-2.38,0.005,-1.16,0,-0.28,0.002,-0.15,0.481,1.72,0.44
-4.3,-0.008,-2.24,0.005,-1.11,0,-0.34,0.002,-0.06,0.543,1.71,0.487
-4.38,-0.008,-2.42,0.003,-1.14,0,-0.37,0.002,-0.05,0.598,1.69,0.57
-4.28,-0.009,-2.39,0.003,-1.16,0,-0.3,0.003,-0.06,0.628,1.7,0.638
-4.38,-0.011,-2.23,0.003,-1.14,0,-0.23,0.003,-0.03,0.657,1.66,0.707
-4.36,-0.011,-2.2,0.005,-1.23,0,-0.18,0.005,-0.09,0.686,1.72,0.768
-4.4,-0.011,-2.27,0.006,-1.21,0,-0.22,0.005,-0.07,0.718,1.74,0.815
-4.38,-0.011,-2.23,0.006,-1.18,0,-0.27,0.006,-0.09,0.771,1.74,0.872
-4.32,-0.011,-2.29,0.006,-1.22,0,-0.33,0.006,-0.07,0.809,1.72,0.908
-4.35,-0.011,-2.23,0.009,-1.2,0,-0.28,0.008,-0.07,0.831,1.72,0.924
-4.35,-0.011,-2.23,0.009,-1.21,0,-0.21,0.009,-0.12,0.856,1.73,0.942
-4.3,-0.011,-2.2,0.009,-1.19,0,-0.23,0.009,-0.04,0.903,1.74,0.968
-4.3,-0.011,-2.17,0.011,-1.17,0,-0.24,0.011,-0.05,0.928,1.75,1.019
-4.28,-0.011,-2.21,0.013,-1.19,0,-0.24,0.011,-0.07,0.952,1.75,1.129
-4.34,-0.011,-2.22,0.014,-1.16,0,-0.24,0.011,-0.01,0.979,1.73,1.214
-4.32,-0.011,-2.25,0.017,-1.22,0,-0.22,0.013,-0.01,1.016,1.74,1.272
-4.32,-0.011,-2.32,0.024,-1.24,0,-0.22,0.013,-0.04,1.063,1.73,1.313
-4.3,-0.011,-2.21,0.028,-1.22,0,-0.23,0.014,-0.03,1.101,1.75,1.334
-4.29,-0.009,-2.19,0.031,-1.21,0,-0.28,0.014,-0.06,1.122,1.72,1.345
-4.35,-0.009,-2.22,0.041,-1.19,0,-0.24,0.016,-0.05,1.153,1.73,1.349
-4.28,-0.009,-2.17,0.053,-1.24,0,-0.24,0.003,0.04,1.197,1.79,1.354
