Relative Intensity (%) Run #2,Angle (rad) Run #2,Relative Intensity (%) Run #3,Angle (rad) Run #3,Relative Intensity (%) Run #5,Angle (rad) Run #5,Relative Intensity (%) Run #7,Angle (rad) Run #7,Relative Intensity (%) Run #9,Angle (rad) Run #9
1.28,,1.42,,2.47,,4.32,,4.9,
1.3,0,1.44,0,2.47,0,4.32,0,4.86,0
1.32,0,1.41,0,2.46,0,4.35,0,4.88,0
1.36,0,1.41,0,2.46,0,4.39,0,4.9,0
1.3,0,1.38,0,2.48,0,4.4,0,4.95,0
1.32,0,1.37,0,2.44,0,4.37,0,4.97,0
1.37,0,1.38,0,2.5,0,4.36,0,4.93,0
1.32,0,1.41,0,2.51,0,4.33,0,4.93,0
1.28,0,1.43,0,2.48,0,4.33,-0.002,4.95,0
1.3,0,1.44,0,2.48,0,4.27,-0.002,4.99,0
1.26,0,1.47,0,2.46,0,4.26,-0.002,4.96,0
1.27,0,1.53,0,2.44,0.002,4.27,-0.002,4.95,0
1.3,0,1.59,0,2.45,0.002,4.3,-0.002,4.99,0
1.25,0,1.54,0,2.54,0.002,4.25,-0.002,5,0
1.3,0,1.63,0,2.53,0.002,4.27,0,4.96,0
1.28,0,1.59,0,2.5,0.002,4.27,0.002,4.98,0
1.31,0,1.51,0,2.53,0.002,4.3,0,4.96,0
1.34,0,1.52,0,2.58,0.002,4.2,-0.002,5,0
1.35,0,1.48,0,2.59,0.002,4.22,0,5.03,0
1.37,0,1.53,0,2.58,0.002,4.2,-0.002,5.09,0
1.37,0,1.5,0,2.62,0.002,4.26,-0.003,5.15,0
1.4,0,1.5,0.003,2.6,0.002,4.25,-0.002,5.07,0
1.36,0,1.52,0.014,2.58,0.002,4.2,0.003,5.12,-0.002
1.27,0,1.51,0.011,2.58,0.002,4.25,0.016,5.12,-0.002
1.32,0,1.52,0.008,2.6,0.002,4.28,0.027,5.09,-0.002
1.32,0,1.58,0.011,2.55,0.002,4.28,0.047,5.08,-0.002
1.34,0,1.56,0.011,2.56,0.002,4.33,0.116,5.1,-0.002
1.43,0,1.49,0.008,2.56,0.002,4.31,0.258,5.11,-0.002
1.42,0,1.53,0.013,2.55,0.002,4.26,0.327,5.13,-0.002
1.38,0,1.49,0.013,2.52,0.002,4.26,0.416,5.17,-0.002
1.47,0.003,1.5,0.013,2.61,0.002,4.25,0.434,5.18,-0.002
1.49,0.002,1.38,0.014,2.64,0.002,4.29,0.44,5.2,0.002
1.48,0.008,1.44,0.014,2.5,0,4.36,0.438,5.09,0.002
1.45,0.008,1.43,0.016,2.5,0.003,4.37,0.437,5.12,0.002
1.41,0.009,1.42,0.019,2.49,0.005,4.36,0.437,5.15,0.003
1.44,0.009,1.46,0.022,2.5,0.005,4.4,0.44,5.13,0.019
1.41,0.011,1.52,0.022,2.45,0.006,4.34,0.446,5.17,0.039
1.42,0.011,1.53,0.025,2.46,0.005,4.32,0.454,5.15,0.064
1.37,0.014,1.51,0.031,2.47,0.006,4.29,0.46,5.1,0.104
1.29,0.017,1.48,0.047,2.49,0.006,4.3,0.462,5.08,0.138
1.41,0.005,1.46,0.053,2.44,0.008,4.28,0.465,5.03,0.165
1.35,0.009,1.54,0.055,2.45,0.011,4.32,0.471,5.04,0.262
1.39,0.027,1.48,0.072,2.42,0.014,4.33,0.471,4.99,0.338
1.4,0.041,1.51,0.102,2.4,0.02,4.33,0.481,4.98,0.347
1.42,0.063,1.47,0.159,2.43,0.061,4.35,0.49,4.96,0.375
1.41,0.068,1.51,0.22,2.41,0.104,4.35,0.512,4.98,0.424
1.42,0.115,1.51,0.258,2.42,0.159,4.37,0.534,4.97,0.451
1.53,0.184,1.49,0.287,2.38,0.292,4.33,0.548,4.96,0.452
1.5,0.234,1.47,0.305,2.39,0.471,4.32,0.564,4.95,0.452
1.41,0.267,1.48,0.317,2.4,0.633,4.27,0.58,4.94,0.462
1.39,0.284,1.51,0.349,2.42,0.738,4.3,0.613,4.92,0.484
1.39,0.335,1.48,0.375,2.47,0.823,4.28,0.639,4.87,0.534
1.36,0.391,1.55,0.401,2.42,0.848,4.28,0.664,4.94,0.589
1.42,0.424,1.53,0.424,2.45,0.862,4.32,0.704,4.99,0.639
1.4,0.435,1.57,0.468,2.45,0.895,4.32,0.721,4.99,0.71
1.5,0.438,1.54,0.52,2.41,0.95,4.34,0.723,4.98,0.76
1.47,0.449,1.58,0.575,2.43,0.972,4.35,0.729,4.98,0.8
1.42,0.476,1.58,0.613,2.49,0.983,4.36,0.752,5,0.803
1.44,0.514,1.58,0.647,2.45,1.019,4.36,0.792,5.01,0.811
1.49,0.57,1.65,0.688,2.48,1.084,4.33,0.829,4.97,0.829
1.42,0.635,1.61,0.732,2.48,1.125,4.39,0.834,4.94,0.847
1.37,0.705,1.63,0.776,2.51,1.211,4.39,0.836,5,0.87
1.37,0.745,1.66,0.829,2.5,1.318,4.38,0.845,5.05,0.886
1.35,0.781,1.67,0.862,2.48,1.415,4.4,0.862,5.01,0.905
1.37,0.842,1.74,0.894,2.45,1.462,4.38,0.902,5,0.924
1.35,0.908,1.72,0.911,2.45,1.5,4.4,0.941,5.02,0.946
1.4,0.946,1.7,0.927,2.63,1.538,4.41,0.955,5.04,0.972
1.36,0.983,1.63,0.957,2.6,1.56,4.41,0.982,5.04,1.002
1.41,1.056,1.69,1.016,2.54,1.623,4.4,0.999,4.98,1.034
1.42,1.134,1.66,1.103,2.56,1.701,4.43,1.023,4.98,1.057
1.41,1.203,1.77,1.166,2.64,1.717,4.36,1.03,5,1.095
1.47,1.236,1.77,1.217,2.62,1.728,4.31,1.06,4.97,1.148
1.49,1.257,1.67,1.247,2.63,1.786,4.36,1.112,4.89,1.199
1.48,1.294,1.68,1.286,2.64,1.813,4.41,1.178,4.99,1.239
1.47,1.316,1.7,1.324,2.67,1.821,4.44,1.217,5.02,1.274
1.49,1.338,1.71,1.349,2.68,1.844,4.41,1.247,5,1.304
1.45,1.349,1.74,1.374,2.64,1.855,4.41,1.279,5.03,1.321
1.37,1.356,1.7,1.407,2.56,1.913,4.43,1.291,5.02,1.337
1.49,1.368,1.76,1.437,2.62,1.949,4.39,1.31,5,1.36
1.49,1.4,1.72,1.475,2.68,1.96,4.43,1.348,5.04,1.392
1.52,1.444,1.69,1.506,2.76,1.979,4.41,1.379,5.02,1.406
1.53,1.497,1.79,1.543,2.75,1.998,4.34,1.384,4.96,1.426
