"Relative Intensity (%) Run #2","Angle (rad) Run #2","Relative Intensity (%) Run #3","Angle (rad) Run #3","Relative Intensity (%) Run #4","Angle (rad) Run #4","Relative Intensity (%) Run #5","Angle (rad) Run #5","Relative Intensity (%) Run #6","Angle (rad) Run #6","Relative Intensity (%) Run #7","Angle (rad) Run #7"
5.37,,6.82,,6.92,,6.36,,6.24,,6.27,
5.34,0.000,6.83,0.002,6.93,0.000,6.35,0.000,6.22,0.000,6.28,0.000
5.31,0.000,6.84,0.008,6.93,0.000,6.33,0.000,6.21,0.000,6.25,0.000
5.35,0.000,6.86,0.006,6.93,0.000,6.29,0.000,6.20,0.000,6.23,0.000
5.38,0.000,6.79,0.006,6.84,0.000,6.30,0.000,6.20,0.000,6.23,0.000
5.37,0.000,6.81,0.006,6.90,0.000,6.33,0.000,6.20,0.000,6.19,0.000
5.38,0.000,6.86,0.005,6.83,0.000,6.32,0.000,6.19,0.000,6.24,0.000
5.40,0.000,6.88,0.005,6.87,0.000,6.29,0.000,6.13,0.000,6.24,0.000
5.43,0.000,6.90,0.005,6.83,0.000,6.33,0.000,6.17,0.000,6.24,0.000
5.33,0.000,6.89,0.005,6.86,0.000,6.32,0.000,6.24,0.002,6.25,0.000
5.37,0.000,6.89,0.005,6.86,0.000,6.31,0.000,6.18,0.002,6.24,0.002
5.31,0.000,6.91,0.005,6.83,0.000,6.32,0.000,6.17,0.002,6.25,0.002
5.34,0.000,6.87,0.005,6.79,0.000,6.28,0.000,6.14,0.002,6.27,0.002
5.35,0.000,6.87,0.005,6.83,0.000,6.35,0.000,6.22,0.002,6.27,0.002
5.37,0.000,6.88,0.005,6.78,0.000,6.38,0.000,6.23,0.002,6.25,0.002
5.26,0.000,6.89,0.005,6.86,0.000,6.44,0.000,6.27,0.002,6.26,0.002
5.24,0.000,6.92,0.006,6.88,0.000,6.41,0.000,6.27,0.002,6.29,0.002
5.31,0.000,6.91,0.006,6.85,0.000,6.38,0.000,6.23,0.002,6.41,0.002
5.32,0.000,6.87,0.006,6.91,0.000,6.40,0.000,6.28,0.003,6.41,0.002
5.32,0.000,6.83,0.006,6.90,0.000,6.41,0.000,6.34,0.003,6.32,0.002
5.31,0.000,6.85,0.006,6.90,0.000,6.39,0.000,6.31,0.003,6.29,0.002
