"Relative Intensity (%) Run #5","Angle (rad) Run #5","Relative Intensity (%) Run #6","Angle (rad) Run #6","Relative Intensity (%) Run #7","Angle (rad) Run #7","Relative Intensity (%) Run #8","Angle (rad) Run #8","Relative Intensity (%) Run #9","Angle (rad) Run #9","Relative Intensity (%) Run #10","Angle (rad) Run #10"
-2.12,0.000,-7.36,0.000,-7.84,0.000,-3.92,0.000,-1.42,0.000,3.06,0.000
-2.13,0.000,-7.33,0.000,-7.87,0.000,-3.90,0.000,-1.48,0.000,3.08,0.000
-2.17,0.000,-7.30,0.000,-7.85,0.000,-3.96,0.000,-1.45,0.000,3.08,0.000
-2.13,0.000,-7.31,0.000,-7.90,0.000,-3.91,0.000,-1.46,0.000,3.08,0.000
-2.12,0.000,-7.38,0.000,-7.91,0.000,-3.97,0.000,-1.44,0.000,3.09,0.000
-2.13,0.000,-7.39,0.000,-7.85,0.000,-3.98,0.000,-1.52,0.000,3.07,0.000
-2.10,0.000,-7.30,0.000,-7.75,0.000,-3.94,0.000,-1.47,0.000,3.02,0.000
-2.10,0.000,-7.40,0.000,-7.74,0.000,-3.96,0.000,-1.46,0.000,2.99,0.000
-2.15,0.000,-7.44,0.000,-7.83,0.000,-4.01,0.000,-1.47,0.000,3.05,0.000
-2.19,0.000,-7.44,0.000,-7.85,0.000,-4.01,0.000,-1.42,0.000,3.06,0.000
-2.23,0.000,-7.42,0.000,-7.87,0.000,-3.96,0.000,-1.42,0.000,3.06,0.000
-2.21,0.000,-7.42,0.000,-7.91,0.000,-3.88,0.000,-1.47,0.000,3.07,0.000
-2.22,0.000,-7.42,0.000,-7.88,0.000,-3.94,0.000,-1.41,0.000,3.02,0.000
-2.16,0.000,-7.37,0.000,-7.84,0.000,-3.94,0.000,-1.40,0.000,3.01,0.000
-2.18,0.000,-7.35,0.000,-7.86,0.000,-3.90,0.000,-1.45,0.000,3.06,0.000
-2.17,0.000,-7.40,0.000,-7.79,0.000,-3.90,0.000,-1.42,0.000,3.10,0.000
-2.17,0.000,-7.50,0.000,-7.78,0.000,-3.90,0.000,-1.41,0.000,3.05,0.000
-2.15,0.000,-7.50,0.000,-7.76,0.000,-3.88,0.000,-1.39,0.000,3.02,0.000
-2.22,0.000,-7.46,0.000,-7.79,0.000,-3.90,0.000,-1.43,0.000,3.05,0.000
-2.26,0.003,-7.48,0.000,-7.73,0.000,-3.87,0.000,-1.35,0.000,3.03,0.000
-2.23,0.005,-7.45,0.000,-7.74,0.000,-3.91,0.000,-1.40,0.000,3.03,0.000
-2.02,0.003,-7.48,0.000,-7.76,0.000,-3.84,0.000,-1.42,0.000,3.05,0.000
-1.92,0.003,-7.48,0.000,-7.76,0.000,-3.70,0.000,-1.31,0.000,3.15,0.000
-1.87,0.003,-7.44,0.000,-7.70,0.000,-3.52,0.000,-1.22,0.000,3.14,0.000
-1.83,0.003,-7.47,0.000,-7.70,0.000,-3.49,0.000,-1.19,0.000,3.22,0.000
-1.88,0.003,-7.47,0.000,-7.74,0.000,-3.48,0.000,-1.01,0.000,3.25,0.000
-1.89,0.003,-7.51,0.000,-7.70,0.000,-3.48,0.000,-1.04,0.002,3.41,0.000
-1.81,0.003,-7.38,0.000,-7.66,0.000,-3.39,0.000,-1.05,0.002,3.38,0.000
-1.87,0.003,-7.31,0.000,-7.64,-0.002,-3.39,0.000,-0.99,0.002,3.42,0.000
-1.87,0.003,-7.20,0.000,-7.73,-0.002,-3.38,0.000,-0.94,0.002,3.42,0.000
-1.84,0.003,-7.14,0.000,-7.66,-0.002,-3.41,0.000,-1.11,0.002,3.37,0.000
-1.82,0.003,-7.15,0.002,-7.55,-0.002,-3.32,0.000,-1.05,0.002,3.34,0.000
-1.82,0.003,-7.13,0.002,-7.48,-0.002,-3.35,0.000,-1.04,0.002,3.39,0.000
-1.89,0.003,-7.14,0.002,-7.25,-0.002,-3.40,0.000,-1.01,0.002,3.36,0.000
-1.90,0.003,-7.11,0.002,-7.23,-0.002,-3.38,0.000,-0.94,0.002,3.37,0.000
-1.87,0.003,-7.16,0.002,-7.15,-0.002,-3.35,0.000,-0.89,0.002,3.35,0.000
-1.84,0.003,-7.19,0.002,-7.14,-0.002,-3.43,0.000,-0.92,0.002,3.37,0.000
-1.89,0.003,-7.20,0.002,-7.15,-0.002,-3.48,0.002,-0.87,0.002,3.36,0.000
-1.95,0.003,-7.12,0.002,-7.17,-0.002,-3.45,0.002,-0.79,0.002,3.33,0.000
-1.97,0.003,-7.12,0.002,-7.13,-0.002,-3.43,0.002,-0.88,0.000,3.40,0.002
-2.02,0.006,-7.14,0.002,-7.09,-0.002,-3.41,0.003,-0.80,0.000,3.39,0.002
-1.95,0.006,-7.17,0.002,-7.09,-0.002,-3.41,0.003,-0.78,0.002,3.33,0.002
-1.94,0.008,-7.18,0.002,-7.08,-0.002,-3.45,0.003,-0.83,0.000,3.34,0.003
-1.93,0.008,-7.13,0.002,-7.08,-0.002,-3.49,0.003,-0.81,0.000,3.47,0.006
-1.97,0.009,-7.18,0.002,-7.08,-0.002,-3.52,0.005,-0.77,0.000,3.34,0.006
-1.96,0.011,-7.23,0.002,-7.11,-0.002,-3.48,0.006,-0.77,0.000,3.39,0.003
-1.99,0.011,-7.22,0.002,-7.09,-0.002,-3.58,0.006,-0.72,0.000,3.36,0.002
-1.97,0.011,-7.16,0.002,-7.11,-0.002,-3.65,0.006,-0.75,0.002,3.35,0.002
-1.97,0.011,-7.23,0.002,-7.13,-0.002,-3.63,0.008,-0.74,0.002,3.39,0.003
-1.97,0.013,-7.22,0.002,-7.04,-0.002,-3.64,0.008,-0.73,0.002,3.47,0.003
-2.02,0.013,-7.24,0.002,-7.07,-0.002,-3.63,0.009,-0.68,0.002,3.49,0.005
-1.98,0.011,-7.14,0.002,-7.10,-0.002,-3.63,0.011,-0.62,0.003,3.41,0.013
-1.97,0.011,-7.13,0.002,-7.07,-0.002,-3.62,0.011,-0.55,0.003,3.44,0.014
-1.96,0.011,-7.17,0.002,-7.08,0.003,-3.54,0.008,-0.57,0.005,3.53,0.016
-2.01,0.009,-7.09,0.002,-7.14,0.002,-3.54,0.006,-0.55,0.005,3.57,0.019
-1.96,0.006,-7.07,0.002,-7.16,0.002,-3.53,0.008,-0.60,0.005,3.59,0.019
-1.95,0.005,-7.09,0.002,-7.18,0.003,-3.57,0.008,-0.53,0.005,3.59,0.017
-2.02,0.003,-7.11,0.002,-7.17,0.003,-3.56,0.008,-0.54,0.003,3.53,0.017
-2.03,0.002,-7.09,0.003,-7.18,0.005,-3.57,0.006,-0.55,-4.337E-19,3.52,0.019
-2.06,0.002,-7.07,0.003,-7.21,0.005,-3.47,0.005,-0.57,-4.337E-19,3.54,0.019
-2.09,0.002,-7.14,0.002,-7.23,0.008,-3.49,0.003,-0.56,0.002,3.47,-0.013
-2.10,0.002,-7.11,0.002,-7.20,0.008,-3.45,0.003,-0.57,-0.024,3.48,-0.009
-2.12,0.002,-7.16,0.002,-7.11,0.009,-3.47,0.002,-0.65,-0.024,3.49,-0.014
-2.15,0.002,-7.13,0.002,-7.16,0.009,-3.52,0.002,-0.55,-0.025,3.47,-0.016
